# ----------------------------------------
# Classplay
# Caminhos de página-Formato livre 1
# 20250802-20250831
# ----------------------------------------

Título da página,Caminho da página e classe da tela,Visualizações,Usuários ativos,Tempo médio de engajamento por sessão,Contagem de eventos
Curso: O Mundo dos Agents | Classplay,/course/view.php,40,13,29.848484848484848,130
Editar curso: IA Generativa no Marketing Digital | Classplay,/course/view.php,39,1,333.25,92
Gerenciar inscrições manuais | Classplay,/enrol/manual/manage.php,38,1,36.5,146
Agente Generativo | Classplay,/mod/aiagents/view.php,37,20,7.458333333333333,118
LAPISRARO.0925T1: Apresentação - Aulas 1 e 2 | Classplay,/mod/resource/view.php,37,23,15.657894736842104,106
1. Introdução à IAG no Marketing Digital,/conteudo/cursos/introducao-iag-no-mkt-digital/introduo-iag-no-marketing-digital,33,20,0.1935483870967742,86
Editar curso: 🔒 Operações de Marketing | Classplay,/course/view.php,33,1,243.4,75
Configurações da página principal | Página principal | Administração | Classplay,/admin/settings.php,31,7,2.88,61
Coortes do sistemas | Classplay,/cohort/index.php,31,5,16.57894736842105,74
Editar curso: 🔒 O Básico de I.A no Marketing | Classplay,/course/view.php,30,1,76,69
Curso: eBooks | Classplay,/course/view.php,29,11,23.2,76
Editar curso: IA para Advogados | Classplay,/course/view.php,29,1,303.4,101
Novo Arquivo | TEMPLO.FCA | Classplay,/course/modedit.php,29,2,100.8,109
Temas | Aparência | Administração | Classplay,/admin/themeselector.php,29,3,5.866666666666666,77
Editar curso: 🔒 O Mundo dos Agents | Classplay,/course/view.php,28,3,39.625,63
Curso: O Mundo dos Agentes | Classplay,/course/view.php,27,2,27.166666666666668,76
Curso: Masterclasses | Classplay,/course/view.php,26,18,71.79166666666667,84
Editar curso: O Mundo dos Agents | Classplay,/course/view.php,25,2,77.6,51
Erro | Classplay,/auth/oauth2/login.php,25,9,6,71
Editar curso: Dannemann [IA + Law] | Classplay,/course/view.php,24,4,380.2857142857143,49
Curso: Onboarding de Professores | Classplay,/course/view.php,23,8,22.6875,61
Curso: 🔒 O Mundo dos Agents | Classplay,/course/view.php,23,3,40.333333333333336,50
Search | Administration | Classplay,/admin/search.php,23,1,15,48
"Seção: 🔒 Crie tom de voz, estilo, personas e muito mais com ferramentas de IA. | 🔒 IA + Branding | Classplay",/course/view.php,23,2,22,62
Editar curso: O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,22,1,92.83333333333333,51
Classplay: Participantes | Classplay,/user/index.php,21,7,30.166666666666668,61
Curso: IA + Branding | Classplay,/course/view.php,21,5,39.63636363636363,51
Curso: Imagem & Vídeo | Classplay,/course/view.php,21,10,133.78571428571428,61
Código HTML adicional | Aparência | Administração | Classplay,/admin/settings.php,21,3,46.083333333333336,64
Home | Classplay,/,21,1,23.75,55
WOW Templo,/turmas-templo/controle-templo/wow-templo,21,11,23.055555555555557,33
Editar curso: IA + Branding | Classplay,/course/view.php,20,3,30.2,44
Editar curso: O Básico de IAGen no Marketing Digital | Classplay,/course/view.php,20,2,278.2,42
Logs | Classplay,/report/log/index.php,20,3,241.6,60
Editar curso: Freemium Simulado | Classplay,/course/view.php,19,1,172.33333333333334,41
Meus cursos | Classplay,/my/courses.php,19,9,20.583333333333332,41
Curso: Dannemann [IA + Law] | Classplay,/course/view.php,18,6,39.888888888888886,56
Curso: Freemium Simulado | Classplay,/course/view.php,18,1,139,52
Curso: O Básico de IAGen no Marketing Digital | Classplay,/course/view.php,18,6,24.714285714285715,47
Notificações | Classplay,/message/output/popup/notifications.php,17,15,14.533333333333333,39
Purge caches | Development | Administration | Classplay,/admin/purgecaches.php,17,1,21,58
Editar curso: Análise de Dados | Classplay,/course/view.php,16,1,106,37
Lista de usuários | Contas | Usuários | Administração | Classplay,/admin/user.php,16,5,14,47
Acrescentar um coorte | Classplay,/cohort/edit.php,15,3,21.125,56
Classplay: Relatório de atividade | Classplay,/report/log/user.php,15,4,21,35
IntroIAG: Participantes | Classplay,/user/index.php,15,3,13.333333333333334,34
Preferências | Classplay,/user/preferences.php,15,9,10.909090909090908,46
Competências do curso | Classplay,/admin/tool/lp/coursecompetencies.php,14,12,8.461538461538462,42
Curso: Análise de Dados | Classplay,/course/view.php,14,4,49.75,32
Curso: Engenharia de Prompts | Classplay,/course/view.php,14,5,377.6666666666667,54
Curso: O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,14,2,40.375,33
Curso: 🔒 Imagem & Vídeo | Classplay,/course/view.php,14,4,24.571428571428573,31
Editar curso: Engenharia de Prompts | Classplay,/course/view.php,14,1,91.66666666666667,33
Editar curso: Imagem & Vídeo | Classplay,/course/view.php,14,1,291.6666666666667,35
Editar curso: Lápis Raro | Classplay,/course/view.php,14,2,48.857142857142854,33
Editar curso: O Básico de IA no Marketing | Classplay,/course/view.php,14,1,103.33333333333333,34
Install plugins | Plugins | Administration | Classplay,/admin/tool/installaddon/index.php,14,1,26.666666666666668,77
"Editar Seção: 🔒 Crie tom de voz, estilo, personas e muito mais com ferramentas de IA. | 🔒 IA + Branding | Classplay",/course/view.php,13,2,48.333333333333336,26
Editar curso: 🔒 O Básico de IAGen no Marketing Digital | Classplay,/course/view.php,13,1,227,31
Editar Área de texto e mídia: Quer acessar esse curso e aprender como você pode ... | OPMKT-FREE | Classplay,/course/modedit.php,13,1,2.5,49
LAPISRARO.0925T1: Playbook de Desafios - Módulo 1 | Classplay,/mod/resource/view.php,13,11,36.75,29
Turma Formação de Professores,/turmas-templo/controle-templo/turma-formao-de-professores,13,2,0.1875,32
casos-uso: Participantes | Classplay,/user/index.php,13,9,18.23076923076923,32
Editar Área de texto e mídia: Quer acessar esse curso e aprender todo o básico p... | MINI-BASICOMKT-FREE | Classplay,/course/modedit.php,12,1,2,48
Estratégia 2025,/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025,12,4,52.8,17
WOW Templo,/WOW-Templo-1755c644545480fdb4a1fbe8d5b8e4ac,12,2,40.5,37
Curso: IA para Advogados | Classplay,/course/view.php,11,3,26.428571428571427,28
DANNEMANNIA .0225T1: Participantes | Classplay,/user/index.php,11,2,17.75,24
Editar curso: Freemium Simulado 2 | Classplay,/course/view.php,11,1,79.5,27
Inscrição em coorte por campo de perfil | Classplay,/local/profilecohort/cohorts.php,11,2,4.888888888888889,43
Lixeira | Classplay,/admin/tool/recyclebin/index.php,11,2,29,31
Progresso da cópia do curso | Classplay,/backup/copyprogress.php,11,2,46.375,37
Turma JBS - IA + MKT,/turmas-templo/controle-templo/turma-jbs-ia-mkt,11,5,18.375,13
casos-uso | Classplay,/enrol/index.php,11,5,14.2,35
Editar curso: Operações de Marketing | Classplay,/course/view.php,10,1,61.5,23
Editar Área de texto e mídia: Inteligência Artificial: O Hype e a Realidade | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,10,1,13.75,35
Editar Área de texto e mídia: Quer acessar esse curso e aprender como utilizar I... | IMGMVIDEO-FREE | Classplay,/course/modedit.php,10,1,9,42
Editar Área de texto e mídia: Quer acessar esse curso e aprender como utilizar I... | MINI-IMAGEMVIDEO-FREE | Classplay,/course/modedit.php,10,1,2,40
IAG-MKTDigital: Participantes | Classplay,/user/index.php,10,3,5.428571428571429,23
LAPISRARO.0925T1: Apresentação Onboarding Classplay | Classplay,/mod/resource/view.php,10,8,8.636363636363637,24
Novo Área de texto e mídia | MINI-IMAGEMVIDEO-FREE_1 | Classplay,/course/modedit.php,10,1,2,40
PROMPTS: Participantes | Classplay,/user/index.php,10,2,4.625,20
Classplay: teste classplay | Classplay,/mod/forum/discuss.php,9,5,4.8,26
Curso: IA Generativa no Marketing Digital | Classplay,/course/view.php,9,1,137.5,27
Editar Seção: Aula 1 - Criação e Edição de Imagens com IA | FCA: Formação de Talentos | Classplay,/course/view.php,9,1,56,19
Editar curso: 🔒 IA para Advogados | Classplay,/course/view.php,9,1,243,20
Educação,/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe/okrs-2025-educao,9,3,4.555555555555555,21
MÓDULO 3 - Agentes de IA,/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-3-agentes-de-ia,9,4,6.888888888888889,19
Novo Área de texto e mídia | TEMPLO.FCA | Classplay,/course/modedit.php,9,3,13.8,40
Relatórios | Classplay,/report/view.php,9,4,13.333333333333334,27
Biblioteca de Ferramentas,/turmas-templo/controle-templo/ferramentas-0425,8,5,10.833333333333334,9
Configurações avançadas de tema | Aparência | Administração | Classplay,/admin/settings.php,8,2,10.333333333333334,19
Construa Seu Prompt,/turmas-templo/controle-templo/construa-seu-prompt,8,7,12.125,16
Controle,/turmas-templo/controle-templo/wow-templo/controle,8,1,31.5,8
Controle - Templo,/turmas-templo/controle-templo,8,4,23.666666666666668,12
Curso: O Básico de IA no Marketing | Classplay,/course/view.php,8,2,25.5,19
Curso: 🔒 O Básico de I.A no Marketing | Classplay,/course/view.php,8,1,16.333333333333332,17
LAPISRARO.0925T1: Participantes | Classplay,/user/index.php,8,8,18.25,22
MÓDULO 1 - Fundamentos e Engenharia de Prompts,/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-1-fundamentos-e-engenharia-de-prompts,8,3,65.5,15
Rituais do Templo,/turmas-templo/controle-templo/wow-templo/rituais-do-templo,8,4,23.875,11
AGENTS-FREE: Participantes | Classplay,/user/index.php,7,2,11,17
Classplay: Relatório de atividade | Classplay,/report/outline/user.php,7,2,4.25,20
Curso: 🔒 IA para Advogados | Classplay,/course/view.php,7,5,14,18
Curso: 🔒 Operações de Marketing | Classplay,/course/view.php,7,1,22.666666666666668,17
"Editar seção: 🔒 Crie tom de voz, estilo, personas e muito mais com ferramentas de IA. | MINI.BRANDING-FREE | Classplay",/course/editsection.php,7,1,69,22
Editar Área de texto e mídia: COMECE POR AQUI O que você quer resolver hoje? Fale s... | Classplay,/course/modedit.php,7,3,22.25,17
FERRAMENTAS: Participantes | Classplay,/user/index.php,7,3,2.75,16
Instalar plugins | Plugins | Administração | Classplay,/admin/tool/installaddon/index.php,7,1,1.75,16
Limpar caches | Desenvolvimento | Administração | Classplay,/admin/purgecaches.php,7,1,3.6666666666666665,17
PODCASTS: Participantes | Classplay,/user/index.php,7,2,5.5,15
Permissões em Curso: Introdução à IA Generativa | Classplay,/admin/roles/permissions.php,7,1,135.66666666666666,14
Prompts para Recursos Humanos,/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos,7,5,16.5,9
AGENTESIA: Participantes | Classplay,/user/index.php,6,2,3.1666666666666665,13
Atividades do curso: Agente Generativo | Classplay,/course/overview.php,6,5,9.2,18
Classplay: Perfil público (Página padrão de perfil) | Classplay,/user/profilesys.php,6,2,2.25,16
Curso: Freemium Simulado 2 | Classplay,/course/view.php,6,1,21,18
Curso: Webinars | Classplay,/course/view.php,6,5,24.8,15
Curso: 🔒 IA Generativa no Marketing Digital | Classplay,/course/view.php,6,3,22.833333333333332,16
Cursos | Aparência | Administração | Classplay,/admin/settings.php,6,2,28.333333333333332,15
Debugging | Development | Administration | Classplay,/admin/settings.php,6,1,54.5,24
EBOOKS: Participantes | Classplay,/user/index.php,6,2,2.1666666666666665,12
Editar Seção: Aula Extra - Engenharia de Prompts | FCA: Formação de Talentos | Classplay,/course/view.php,6,2,45.333333333333336,12
Editar seção: | LLMS | Classplay,/course/editsection.php,6,2,10,19
Editar Área de texto e mídia: Quer acessar esse curso e aprender tudo sobre o us... | MINI.BRANDING-FREE | Classplay,/course/modedit.php,6,1,0,24
Guia de Cultura,/turmas-templo/controle-templo/wow-templo/guia-de-cultura,6,3,20.5,6
IA-Advogados: Participantes | Classplay,/user/index.php,6,3,3.5,13
Lista de Agentes GPT Avançados,/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados,6,1,19.5,6
MASTERCLASSES: Participantes | Classplay,/user/index.php,6,2,2.3333333333333335,12
MINI-BRANDING: Participantes | Classplay,/user/index.php,6,3,1.6,10
MINI-PROMPTS: Participantes | Classplay,/user/index.php,6,2,5,13
Novo Área de texto e mídia | AGENTS-FREE | Classplay,/course/modedit.php,6,1,1,23
Novo Área de texto e mídia | IAGMKT-FREE | Classplay,/course/modedit.php,6,1,1,24
Novo Área de texto e mídia | MINI-BASICOMKT-FREE | Classplay,/course/modedit.php,6,1,0,24
Novo Área de texto e mídia | OPMKT-FREE | Classplay,/course/modedit.php,6,1,3,25
Onboarding Templo,/turmas-templo/controle-templo/wow-templo/controle/onboarding-templo,6,5,6.5,9
Prompts para Marketing,/automacao/biblioteca-de-prompts,6,5,53.8,7
Sheila Moraes: Perfil público | Classplay,/user/profile.php,6,2,11.333333333333334,16
TEMPLO.FCA: Participantes | Classplay,/user/index.php,6,1,9.5,12
Adicionar um novo curso | Classplay,/course/edit.php,5,3,25.666666666666668,18
Aprenda Rápido: Mini Cursos Temáticos,/conteudo/cursos/mini-cursos-tematicos,5,4,13.4,5
Atração e Recrutamento de Talento,/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento,5,1,7.75,9
Classplay: Aviso lorem ipsum | Classplay,/mod/forum/discuss.php,5,5,3.6,13
Classplay: Modificar perfil | Classplay,/user/edit.php,5,4,57,15
Configurações HTML | Aparência | Administração | Classplay,/admin/settings.php,5,1,9,13
Curso: Operações de Marketing | Classplay,/course/view.php,5,2,50,14
Curso: Podcasts | Classplay,/course/view.php,5,2,402.3333333333333,21
Curso: Tutoriais | Classplay,/course/view.php,5,4,18.6,13
Curso: 🔒 O Básico de IAGen no Marketing Digital | Classplay,/course/view.php,5,2,14,13
Editar AI Prompts: Prompts | PROMPTS | Classplay,/course/modedit.php,5,2,7.333333333333333,13
Editar seção: Aula Extra - Engenharia de Prompts | TEMPLO.FCA | Classplay,/course/editsection.php,5,2,1.3333333333333333,22
Editar seção: Seção 1 | LLMS | Classplay,/course/editsection.php,5,1,143,19
Erro | Classplay,/mod/aiagents/resource.php,5,5,6.6,15
IAG-MKTDigital | Classplay,/enrol/index.php,5,1,26,16
IAGMKT-FREE: Participantes | Classplay,/user/index.php,5,1,17.5,12
LAPISRARO.0925T1: Apresentação Masterclass | Classplay,/mod/resource/view.php,5,5,16,15
LLMS: Participantes | Classplay,/user/index.php,5,3,5.333333333333333,12
MINI-BASICOMKT: Participantes | Classplay,/user/index.php,5,2,1.75,10
Navegação | Aparência | Administração | Classplay,/admin/settings.php,5,3,7.5,13
Notifications | Administration | Classplay,/admin/index.php,5,1,15,11
Novo Arquivo | LAPISRARO.0925T1 | Classplay,/course/modedit.php,5,2,66.66666666666667,29
Novo Área de texto e mídia | IAADV-FREE | Classplay,/course/modedit.php,5,1,1,21
Novo Área de texto e mídia | MINI.BRANDING-FREE | Classplay,/course/modedit.php,5,2,3.6666666666666665,22
TEMPLOONB.0725T1: Diretrizes para Professores(a) | Classplay,/mod/resource/view.php,5,1,10,13
TUTORIAIS: Participantes | Classplay,/user/index.php,5,1,2.4,10
Todos os coortes | Classplay,/cohort/index.php,5,2,8.6,9
Turma Dannemann - IA + LAW,/turmas-templo/controle-templo/turma-dannemann-ia-law,5,1,34,5
WEBINARS: Participantes | Classplay,/user/index.php,5,1,2.2,10
WOW Templo [ways of work],/WOW-Templo-ways-of-work-1755c644545480fdb4a1fbe8d5b8e4ac,5,2,48.333333333333336,17
Construa Seu Prompt,/Construa-Seu-Prompt-1655c644545480959699d20c9c02ce7c,4,1,1,8
Cultura Templo,/turmas-templo/controle-templo/wow-templo/cultura-templo,4,2,17.666666666666668,5
Curso: BRASAS | Classplay,/course/view.php,4,2,10.333333333333334,11
Editar Seção: Seção 1 | Modelos de IA | Classplay,/course/view.php,4,1,37,8
"Editar Área de texto e mídia: Crie tom de voz, estilo, personas e muito mais com... | MINI.BRANDING-FREE | Classplay",/course/modedit.php,4,1,7,14
Editar Área de texto e mídia: Descubra o que você vai encontrar nos 5 módulos do... | IAG-MKTDigital | Classplay,/course/modedit.php,4,1,5.666666666666667,14
Editar Área de texto e mídia: Masterclass | IntroIAG | Classplay,/course/modedit.php,4,1,6,17
Editar Área de texto e mídia: Quer acessar esse curso e aprender todo o básico d... | IAGMKT-FREE | Classplay,/course/modedit.php,4,1,1,16
Editar Área de texto e mídia: Você está prestes a iniciar uma formação que não f... | TEMPLO.FCA | Classplay,/course/modedit.php,4,1,11,17
Editar Área de texto e mídia: Área de texto e mídia | MINI.BRANDING-FREE | Classplay,/course/modedit.php,4,1,2.5,14
Ferramentas externas LTI | Classplay,/mod/lti/coursetools.php,4,1,7.5,12
MINI-DADOS: Participantes | Classplay,/user/index.php,4,2,5,9
MINI-IMAGEMVIDEO: Participantes | Classplay,/user/index.php,4,2,3,8
Mudar papel para... | Classplay,/course/switchrole.php,4,2,1.5,9
MundoAgents: Participantes | Classplay,/user/index.php,4,1,2.25,8
MundoAgents: Workflow - Do Tom de Voz à Postagem | Classplay,/mod/resource/view.php,4,1,10,12
Natalie Chamberlain: Perfil público | Classplay,/user/profile.php,4,1,21,12
Notar | Classplay,/course/loginas.php,4,2,4.5,16
Novo Área de texto e mídia | TEMPLOFRE.0125T1 | Classplay,/course/modedit.php,4,1,3,17
OPMARKETING: Participantes | Classplay,/user/index.php,4,2,2.75,8
PROMPTSFREE: Participantes | Classplay,/user/index.php,4,2,21,12
Perfil dos Monges,/turmas-templo/controle-templo/wow-templo/perfil-dos-monges,4,1,2.6666666666666665,5
Relatório do usuário | Agente Generativo | Classplay,/grade/report/user/index.php,4,4,7.5,12
Repositório de Conteúdos,/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos,4,2,16.75,8
Seção: Seção 2 | 🔒 IA + Branding | Classplay,/course/view.php,4,2,3,12
TEMPLO.FCA: Apresentação aula 1 - módulo 1 | Classplay,/mod/resource/view.php,4,4,36.4,11
TEMPLOONB.0725T1: Manual dos Saberes | Classplay,/mod/resource/view.php,4,1,8,11
TEMPLOONB.0725T1: Participantes | Classplay,/user/index.php,4,3,6,9
Templates | Aparência | Administração | Classplay,/admin/settings.php,4,3,1.5,12
Agentes GPT para Recursos Humanos,/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados,3,2,11.5,3
Agentes IA,/automacao/agentes-prontos,3,3,15.333333333333334,3
Atividades do curso: O Mundo dos Agentes | Classplay,/course/overview.php,3,1,9.5,9
Banco de conteúdo | Classplay,/contentbank/index.php,3,3,17,9
Bancos de questões | Classplay,/question/banks.php,3,3,2.6666666666666665,9
Calendário | Aparência | Administração | Classplay,/admin/settings.php,3,2,16,8
Classplay | Home,/ee0a74cee3f5490c89f562e291580e07,3,2,4.5,5
Curso: Template Padrão | Classplay,/course/view.php,3,2,8,7
Curso: 🔒 O Básico da IA Generativa no Marketing Digital | Classplay,/course/view.php,3,1,233,9
Cursos | Blocos | Plugins | Administração | Classplay,/admin/settings.php,3,1,4,9
EBOOKS: Manual de IAG para Treinamento e Desenvolvimento Organizacional | Classplay,/mod/resource/view.php,3,3,4.333333333333333,7
Editar Seção: Clique no botão para acessar o Chat GPT! | Modelos de IA | Classplay,/course/view.php,3,2,16.5,9
Editar Seção: Clique no botão para acessar o Claude! | Modelos de IA | Classplay,/course/view.php,3,1,14.5,7
Editar Seção: Materiais Complementares | IA Generativa no Marketing Digital | Classplay,/course/view.php,3,1,190,7
Editar Seção: MÓDULO 1 - Texto e IA Generativa | FCA: Formação de Talentos | Classplay,/course/section.php,3,1,19,7
Editar curso: Template Padrão | Classplay,/course/view.php,3,2,26,7
Editar seção: Aula 1 - Criação e Edição de Imagens com IA | TEMPLO.FCA | Classplay,/course/editsection.php,3,1,3,12
Editar seção: Clique no botão para acessar o Chat GPT! | LLMS | Classplay,/course/editsection.php,3,2,8.5,12
Editar seção: Materiais Complementares | IAG-MKTDigital. Freemium | Classplay,/course/editsection.php,3,1,26,13
Editar Área de texto e mídia: Acessar Agentes | LLMS | Classplay,/course/modedit.php,3,1,33,7
Editar Área de texto e mídia: Aplicação: Como extrair o seu tom de voz e aplicar ao seu Agente | MundoAgents | Classplay,/course/modedit.php,3,1,5.5,12
Editar Área de texto e mídia: Aula 3 | TEMPLO.FCA | Classplay,/course/modedit.php,3,2,3.5,15
Editar Área de texto e mídia: ChatGPT e Playground | IntroIAG | Classplay,/course/modedit.php,3,1,5,11
Editar Área de texto e mídia: Como a IA pode ajudar a fazer as principais atividades do marketing digital | IAG-MKTDigital | Classplay,/course/modedit.php,3,1,39,10
Editar Área de texto e mídia: Descubra como a Inteligência Artificial está trans... | TEMPLOFRE.0125T1 | Classplay,/course/modedit.php,3,1,4,13
Editar Área de texto e mídia: Descubra o poder do Advanced Data Analysis no Chat... | MINI-DADOS | Classplay,/course/modedit.php,3,1,5,8
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 1 | MundoAgents Freemium | Classplay,/course/modedit.php,3,1,21,16
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agente | MundoAgents | Classplay,/course/modedit.php,3,1,5,13
Editar Área de texto e mídia: Mãos à Obra: Evoluindo Seu Agent - Parte 3 | MundoAgents | Classplay,/course/modedit.php,3,1,11,8
"Editar Área de texto e mídia: Para ter acesso ao material completo, incluindo cu... | MINI.BRANDING-FREE | Classplay",/course/modedit.php,3,1,3.5,13
Editar Área de texto e mídia: Produtividade com IA: Casos de Uso e Análise Efeitos | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,3,1,4.666666666666667,10
Editar Área de texto e mídia: Quer acessar esse curso e aprender tudo sobre o uso de I.A para construção de marca? Solicite acesso ao curso completo em (redacted) | MINI.BRANDING-FREE | Classplay,/course/modedit.php,3,1,2,10
Editar Área de texto e mídia: label491 | MundoAgents Freemium | Classplay,/course/modedit.php,3,1,47,9
Erro | Classplay,/user/index.php,3,2,2.5,10
Formulário de registro | Classplay,/admin/tool/brickfield/registration.php,3,1,8,8
Giulia Wada: Perfil público | Classplay,/user/profile.php,3,2,25.5,9
Grupos | Classplay,/group/overview.php,3,3,12,8
Introdução à Inteligência Artificial Generativa,/conteudo/cursos/introducao-iagen,3,2,11.5,3
Logos | Aparência | Administração | Classplay,/admin/settings.php,3,2,5,7
MINI.BRANDING-FREE: Participantes | Classplay,/user/index.php,3,2,5.333333333333333,8
MundoAgents : Workflow - Do Tom de Voz à Postagem | Classplay,/mod/resource/view.php,3,1,6,7
MundoAgents: Criando seu Assistente IA - Parte 1 | Classplay,/mod/resource/view.php,3,3,9.666666666666666,7
Módulos do Curso,/1cb5c644545481c49e13d71c912f4e6f,3,1,100,3
Novo Área de texto e mídia | LAPISRARO.0925T1 | Classplay,/course/modedit.php,3,2,19,12
O Básico de IAGen no MKT Digital,/conteudo/cursos/introducao-iag-no-mkt-digital,3,3,165,3
Onboarding de Professores(as),/turmas-templo/controle-templo/wow-templo/controle/sala-dos-professores,3,2,52.666666666666664,7
Prompts Freemium | Classplay,/mod/aiprompts/area.php,3,1,18,10
Seção: . | Modelos de IA | Classplay,/course/view.php,3,1,4,7
Seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | IA + Branding | Classplay,/course/view.php,3,2,5,7
TEMPLO.FCA | Classplay,/enrol/index.php,3,1,7,8
TEMPLO.FCA: Apresentação Aula 1 Módulo 3 | Classplay,/mod/resource/view.php,3,2,9,7
TEMPLO.FCA: Apresentação aula 2/3/extra - módulo 1 | Classplay,/mod/resource/view.php,3,3,5.25,8
Thiago Manojo: Perfil público | Classplay,/user/profile.php,3,1,39,8
Todos os cursos | Classplay,/course/index.php,3,2,5,8
Turma Brasas 2 - IA+Edu,/turmas-templo/controle-templo/turma-brasas-iaedu,3,2,12.5,4
Vincenzo Zandoná: Perfil público | Classplay,/user/profile.php,3,1,6.5,4
Workflows,/automacao/workflows,3,3,25.666666666666668,5
AGENTS-FREEMIUM: Participantes | Classplay,/user/index.php,2,1,157,3
Acylino do Amaral Mariano Junior: Perfil público | Classplay,/user/profile.php,2,2,10,6
Adicionar um novo usuário | Contas | Usuários | Administração | Classplay,/user/editadvanced.php,2,1,3.6666666666666665,5
Agente Generativo: Perfil pessoal: Acylino do Amaral Mariano Junior | Classplay,/user/view.php,2,1,25,4
Assinantes | Classplay,/mod/forum/subscribers.php,2,1,15,6
Atividades do curso: Biblioteca de Prompts | Classplay,/course/overview.php,2,2,5,6
Atividades do curso: Ferramentas | Classplay,/course/overview.php,2,2,7,6
Atividades do curso: Introdução à IA Generativa | Classplay,/course/overview.php,2,2,4.5,6
Atividades do curso: Lápis Raro | Classplay,/course/overview.php,2,2,1,6
Atividades do curso: Modelos de IA | Classplay,/course/overview.php,2,1,8,6
Atividades do curso: O Básico de IAGen no Marketing Digital | Classplay,/course/overview.php,2,1,1,5
Atividades do curso: Podcasts | Classplay,/course/overview.php,2,2,5,6
Avisos | Administração | Classplay,/admin/index.php,2,1,0,2
BRASASJOR.0925T1: Participantes | Classplay,/user/index.php,2,1,69,7
