# ----------------------------------------
# Classplay
# Vídeos-Formato livre 3
# 20250802-20250831
# ----------------------------------------

Título do vídeo,Contagem de eventos
3(7/8) 24 Personalização de Serviços Jurídicos com IA: Redação de Peças Processuais,1
3(8/8) 25  Ferramentas de IA para Advogados: Análise de documentação,1
4(1/14) 26  Assistentes de IA: Introdução e Conceitos,1
4(10/14) 35 Integração de Ferramentas: Maximizando a Eficiência,1
4(11/14) 36 Criação de Chatbots: Atendimento Automatizado,1
4(12/14) 37 Execução de IA: Práticas Seguras e Privadas,1
4(13/14) 38 Conclusão: Tendências e Futuro da IA no Direito,1
4(14/14) 39 Assistentes de IA: O que é Open Source e Close Source,1
4(2/14) 27 Introdução aos Assistentes de IA na Prática Jurídica: Uso prático,1
"4(3/14) 28 Desenvolvimento de Assistentes Jurídicos: Criando seu GPT, primeiro passos",1
4(5/14) 30 RAG e Bots Arquivistas: Aplicações no Direito,1
4(6/14) 31 Criando Bots Contenciosos: Guia Prático,1
4(7/14) 32  Agentes de IA: Desenvolvimento e Implementação,1
4(8/14) 33  Agentes de IA: Criação,1
4(9/14) 34 IA em Due Diligence: Práticas Eficazes,1
AGENTES IA | Como criar um GPT Agent do zero até o upload  | Dicas de Engenharia de prompt,1
Aplicação: Como extrair o seu tom de voz e aplicar ao seu agent,1
"Aplicação: Utilizando o seu agent para criar planejamento, imagens e posts",1
Como estudar,1
Como usar o Advanced data analysis do ChatGPT para analisar dados em planilhas (Parte 01),1
Como usar o Advanced data analysis do ChatGPT para analisar dados em planilhas (Parte 02),1
Como usar o Clickup - Tutorial de Clickup completo em português,1
Como usar o NOTEBOOKLM | A IA que EU MAIS UTILIZO!!,1
Crie um Planejamento de Marketing DO ZERO COM IA EM MENOS DE 1H 🔐 Aula Secreta,1
Ema Conversational AI Employee Builder,1
Fazendo versionamento de conteúdos de Marketing com a IA do Canva,1
Google Notebook LM Tutorial - [Become A Power User in 15 min],1
Have you tried this AI feature in Trello?,1
Influencity Demo - How It Works,1
Introducing Ema's Employee Assistant: Make Employee Experience delightful with Agentic AI,1
"Introdução as ferramentas de geração de imagem, comparativos e plugins (Parte  02)",1
Leonardo.AI: Tutorial COMPLETO da Nova Inteligência Artificial - Design Gráfico,1
NFS-e: como emitir nota fiscal MEI pelo app ou portal do Governo Federal – #AssitênciaTec 084,1
O que são Workflows de agents e quando usá-los,1
Prompts Avançados e Contexto,1
Testando IA Perplexity - Futuro da Programação,1
Treinamento: Apresentações Templo,1
😲 [FERRAMENTA INCRÍVEL] Crie Vídeos usando a Inteligência Artificial - Synthesia.io,1

